日期,时刻,辐照度,风速,风向,温度,湿度,气压
9,14,466,1.2,66,-6.5,43,69200
9,17,173,0.7,124,-6.0,42,69100
9,20,0,3.1,84,-7.3,53,69200
9,23,0,2.3,119,-8.6,62,69400
10,2,0,2.0,315,-10.5,66,69600
10,5,0,4.9,302,-11.9,60,69500
10,8,0,6.9,288,-13.0,52,69600
10,11,262,4.1,296,-9.8,43,69700
10,14,445,4.1,288,-5.9,28,69400
10,17,180,8.2,283,-4.6,23,69400
10,20,0,6.9,278,-8.0,32,69600
10,23,0,10.2,281,-11.0,40,69700
11,2,0,9.8,287,-13.1,44,69700
11,5,0,7.1,294,-14.4,49,69600
11,8,0,4.4,308,-15.6,50,69600
11,11,303,1.3,321,-10.8,35,69700
11,14,496,0.2,153,-6.9,24,69300
11,17,189,1.1,117,-5.7,25,69200
11,20,0,1.6,68,-7.5,30,69300
11,23,0,0.3,18,-10.6,40,69300
12,2,0,0.9,49,-11.7,38,69200
12,5,0,1.0,119,-11.8,42,69000
12,8,0,0.4,90,-13.2,47,69100
12,11,369,0.7,304,-8.2,37,69100
12,14,585,1.1,63,-4.0,30,68900
12,17,240,0.8,90,-2.9,33,68800
12,20,0,0.4,27,-6.7,45,68900
12,23,0,1.9,6,-8.7,52,69000
13,2,0,1.5,37,-10.5,57,69000
13,5,0,0.8,14,-11.8,67,68900
13,8,0,2.8,297,-13.7,65,69100
13,11,373,0.9,276,-7.1,41,69200
13,14,594,2.1,101,-2.7,33,68900
13,17,245,2.7,105,-1.7,32,68800
13,20,0,4.2,306,-5.0,36,69000
13,23,0,9.4,284,-6.1,37,69300
14,2,0,11.0,289,-9.2,40,69500
14,5,0,7.0,291,-11.5,46,69500
14,8,0,4.3,292,-13.5,48,69500
14,11,379,1.7,263,-7.5,29,69600
14,14,603,0.1,270,-3.1,20,69300
14,17,252,0.6,59,-1.3,18,69100
14,20,0,0.9,174,-5.1,26,69200
14,23,0,2.2,262,-8.4,29,69200
15,2,0,3.4,275,-10.7,32,69100
15,5,0,4.9,299,-11.2,29,69100
15,8,0,5.4,279,-12.5,30,69200
15,11,379,3.6,300,-7.1,21,69400
15,14,606,3.0,333,-2.2,14,69100
15,17,255,2.9,280,-0.5,13,69100
15,20,0,5.7,289,-5.5,19,69200
15,23,0,3.1,323,-8.3,25,69200
16,2,0,2.1,5,-11.4,34,69200
16,5,0,3.7,19,-12.7,39,69100
16,8,0,1.2,0,-13.9,38,69100
16,11,378,1.0,0,-8.9,26,69200
16,14,583,1.3,61,-4.7,22,68900
16,17,229,1.3,132,-3.8,22,68900
16,20,0,3.0,82,-6.2,29,69200
16,23,0,1.3,90,-7.7,35,69400
17,2,0,4.9,328,-8.5,35,69300
17,5,0,9.8,287,-10.8,34,69300
17,8,0,9.3,282,-12.0,36,69500
17,11,384,4.4,266,-6.7,23,69700
17,14,608,4.5,278,-1.1,16,69300
17,17,257,7.8,285,0.0,18,69300
17,20,0,9.2,294,-4.7,23,69600
17,23,0,7.4,288,-6.8,23,69700
18,2,0,6.8,281,-9.4,24,69800
18,5,0,5.8,298,-11.5,28,69700
18,8,0,2.8,312,-12.9,28,69800
18,11,317,0.6,270,-7.6,17,69900
18,14,505,0.3,45,-3.4,14,69600
18,17,229,0.6,90,-2.0,15,69500
18,20,0,1.4,65,-5.5,20,69700
18,23,0,3.1,54,-6.9,24,69700
19,2,0,2.5,83,-8.4,32,69600
19,5,0,0.2,90,-9.0,38,69500
19,8,0,2.0,255,-11.2,41,69500
19,11,222,2.9,274,-6.5,27,69600
19,14,360,2.8,255,-2.8,23,69500
19,17,206,2.7,298,-1.6,24,69600
19,20,0,14.5,293,-4.6,34,69900
19,23,0,13.3,285,-7.5,37,70100
20,2,0,10.9,280,-10.0,46,70200
20,5,0,5.1,282,-12.9,54,70100
20,8,0,3.4,287,-14.7,50,70200
20,11,394,2.4,277,-8.0,29,70300
20,14,627,1.8,248,-2.1,17,70000
20,17,276,6.3,278,-0.3,13,70000
20,20,0,10.9,293,-4.0,14,70200
20,23,0,8.6,273,-7.0,17,70200
21,2,0,8.9,279,-9.3,20,70200
21,5,0,8.4,282,-11.2,23,70200
21,8,0,4.9,283,-13.2,24,70300
21,11,393,2.1,299,-6.8,15,70400
21,14,587,0.8,293,-1.6,11,70100
21,17,235,2.0,143,-1.2,12,69900
21,20,0,1.2,81,-4.1,17,70000
21,23,0,0.1,90,-5.8,17,70000
22,2,0,1.5,67,-8.2,18,69900
22,5,0,1.0,127,-7.1,18,69700
22,8,0,0.6,279,-8.2,21,69700
22,11,299,0.4,194,-5.0,16,69800
22,14,532,1.5,90,-0.8,15,69500
22,17,233,1.2,125,0.4,18,69500
22,20,0,2.7,297,-2.7,25,69700
22,23,0,6.4,279,-3.6,26,69800
23,2,0,8.7,281,-4.7,39,70000
23,5,0,10.1,281,-7.1,44,69900
23,8,0,9.5,280,-8.5,45,70100
23,11,398,3.4,280,-3.6,32,70300
23,14,636,0.9,186,0.8,24,70100
23,17,289,2.4,120,0.9,28,69900
23,20,0,1.3,67,-3.0,34,70000
23,23,0,1.0,107,-4.0,30,70000
24,2,0,0.9,122,-4.3,29,70000
24,5,0,2.9,264,-9.4,50,70000
24,8,0,0.8,247,-11.3,50,70100
24,11,392,0.5,180,-3.6,29,70100
24,14,607,1.5,98,2.1,18,69700
24,17,283,1.1,10,4.4,17,69600
24,20,0,1.4,306,-2.3,27,69700
24,23,0,1.1,135,-1.5,24,69700
25,2,0,0.8,90,-2.6,25,69600
25,5,0,0.7,90,-3.0,29,69500
25,8,0,0.9,221,-7.3,35,69600
25,11,402,2.3,358,0.0,20,69700
25,14,637,4.1,122,2.3,19,69600
25,17,293,5.1,98,2.0,25,69500
25,20,0,4.9,105,-4.3,42,69700
25,23,0,4.0,115,-6.0,42,69800
26,2,0,1.3,148,-7.5,45,69700
26,5,0,0.6,219,-8.4,46,69400
26,8,0,0.5,349,-7.5,42,69400
26,11,405,0.4,333,-3.3,30,69200
26,14,641,1.1,34,3.0,20,68800
26,17,293,0.9,54,4.8,20,68500
26,20,0,0.3,252,1.8,27,68500
26,23,0,0.7,90,0.0,27,68500
27,2,0,0.1,0,-3.7,34,68500
27,5,0,0.8,104,-1.4,32,68400
27,8,0,1.5,152,-4.5,40,68400
27,11,332,2.2,112,-0.4,31,68400
27,14,440,3.7,103,3.2,26,68300
27,17,155,5.3,107,-0.4,40,68600
27,20,0,6.6,112,-4.4,55,69000
27,23,0,4.7,105,-6.3,64,69200
28,2,0,0.6,59,-8.0,60,69300
28,5,0,0.4,146,-9.0,68,69200
28,8,0,1.2,284,-11.1,69,69300
28,11,389,0.4,284,-5.8,49,69500
28,14,652,1.2,125,-0.8,33,69200
28,17,322,1.9,93,0.6,31,69100
28,20,0,0.9,159,-2.6,35,69200
28,23,0,1.3,81,-2.9,30,69200
29,2,0,2.3,113,-3.2,28,69200
29,5,0,0.1,270,-5.9,37,69200
29,8,0,0.7,45,-7.5,40,69300
29,11,350,0.6,162,-4.2,30,69300
29,14,589,0.3,0,1.0,20,69000
29,17,319,1.8,270,3.3,20,68800
29,20,0,1.3,297,-2.4,32,69000
29,23,0,0.9,148,-3.8,33,69100
30,2,0,0.4,284,-5.3,37,69000
30,5,0,1.2,312,-7.7,44,68900
30,8,0,5.4,266,-8.9,39,69200
30,11,314,1.1,236,-4.2,25,69400
30,14,647,0.2,180,1.4,20,69100
30,17,334,0.3,0,3.1,19,69000
30,20,0,0.9,238,-1.2,26,69200
30,23,0,2.8,308,-4.2,27,69400
31,2,0,0.8,67,-3.9,24,69400
31,5,0,1.6,76,-4.5,26,69400
31,8,0,2.6,90,-6.8,31,69500
31,11,388,1.7,111,-3.6,25,69600
31,14,609,2.9,104,0.7,19,69200
31,17,245,3.1,97,1.7,24,69000
31,20,0,1.9,96,0.0,31,69100
31,23,0,6.5,285,-2.8,40,69400
32,2,0,5.1,286,-5.0,42,69500
32,5,0,9.1,282,-6.3,41,69500
32,8,0,6.1,279,-8.5,41,69600
32,11,434,0.2,270,-3.3,27,69700
32,14,671,1.4,115,1.4,20,69400
32,17,299,1.3,18,3.3,19,69200
32,20,0,2.2,283,-1.6,37,69300
32,23,0,1.3,243,-4.4,33,69300
33,2,0,1.4,270,-6.2,32,69400
33,5,0,0.8,140,-5.8,32,69300
33,8,0,3.9,253,-8.3,35,69400
33,11,416,1.6,255,-2.3,21,69400
33,14,679,2.4,270,3.8,14,69100
33,17,330,9.4,281,6.1,13,69000
33,20,0,11.1,294,1.8,17,69200
33,23,0,9.9,264,0.1,19,69400
34,2,0,5.1,277,-4.7,29,69400
34,5,0,1.9,270,-7.1,31,69300
34,8,0,0.4,34,-5.7,24,69400
34,11,422,0.1,0,-0.8,16,69400
34,14,677,0.2,117,3.8,15,69000
34,17,320,0.9,276,6.8,14,68900
34,20,0,2.1,251,1.3,27,69000
34,23,0,1.3,257,-1.9,25,69200
35,2,0,1.4,262,-2.8,27,69300
35,5,0,0.6,108,-2.1,27,69200
35,8,0,1.1,139,-4.0,33,69200
35,11,374,0.6,171,0.9,24,69200
35,14,676,0.3,90,6.2,18,68800
35,17,342,1.5,90,8.3,19,68600
35,20,0,0.6,231,2.4,28,68600
35,23,0,0.7,164,2.4,22,68600
36,2,0,1.3,90,0.8,25,68600
36,5,0,1.4,102,0.7,28,68400
36,8,0,1.3,138,-1.1,28,68400
36,11,439,0.9,122,3.9,20,68400
36,14,680,0.8,67,8.8,16,68100
36,17,323,0.1,45,10.2,17,67900
36,20,0,5.5,102,4.9,33,68200
36,23,0,6.8,101,-2.2,58,68500
37,2,0,6.5,106,-4.1,67,68800
37,5,0,3.7,110,-5.4,66,68900
37,8,0,3.4,146,-6.4,66,69100
37,11,279,2.6,119,-5.3,57,69300
37,14,424,0.9,159,-2.5,50,69200
37,17,230,4.3,109,-2.2,56,69200
37,20,0,4.0,87,-4.5,65,69500
37,23,0,2.5,88,-5.7,69,69700
38,2,0,1.5,122,-7.6,79,69800
38,5,0,0.6,149,-8.7,78,69700
38,8,0,0.6,0,-9.0,72,69800
38,11,427,0.0,0,-5.4,53,69800
38,14,658,0.9,131,-1.2,35,69600
38,17,332,1.0,101,0.4,30,69400
38,20,0,1.2,149,-3.2,43,69500
38,23,0,0.5,270,-6.1,47,69500
39,2,0,4.3,293,-6.3,37,69500
39,5,0,2.1,346,-7.9,42,69400
39,8,0,1.5,349,-9.7,42,69400
39,11,374,1.3,0,-4.3,27,69500
39,14,592,1.4,129,-0.4,19,69200
39,17,323,1.9,96,0.8,21,69100
39,20,0,6.2,103,-3.5,37,69300
39,23,0,5.6,96,-5.4,47,69400
40,2,0,4.5,93,-6.9,50,69400
40,5,0,4.2,101,-8.7,55,69400
40,8,0,2.9,96,-9.2,52,69400
40,11,272,3.5,87,-6.5,41,69600
40,14,501,2.1,98,-3.9,36,69500
40,17,276,2.5,116,-2.5,38,69400
40,20,0,2.9,134,-4.4,49,69700
40,23,0,2.1,163,-5.3,50,69900
41,2,0,0.3,225,-7.9,68,70000
41,5,0,1.8,304,-9.3,73,69900
41,8,0,5.7,286,-10.7,68,70000
41,11,455,2.3,275,-5.1,43,70100
41,14,722,1.1,202,-0.5,30,69900
41,17,367,2.2,120,0.6,27,69700
41,20,0,1.2,194,-3.2,45,69800
41,23,0,1.6,292,-5.8,42,69900
42,2,0,0.6,270,-7.7,41,69900
42,5,0,0.6,261,-8.5,41,69800
42,8,0,0.3,315,-9.5,35,69900
42,11,479,0.7,153,-3.8,23,70000
42,14,738,1.1,85,1.2,19,69700
42,17,378,2.0,90,2.9,20,69500
42,20,0,0.9,72,-1.6,32,69600
42,23,0,0.8,97,-2.5,20,69700
43,2,0,0.4,56,-3.6,23,69700
43,5,0,3.8,299,-7.2,34,69800
43,8,0,2.5,299,-8.2,36,70000
43,11,347,1.3,288,-3.0,23,70200
43,14,660,3.3,290,3.5,16,69900
43,17,370,3.3,270,5.4,16,69700
43,20,0,2.0,297,-1.6,34,69900
43,23,0,3.7,331,-3.9,28,70100
44,2,0,4.5,305,-6.2,23,70300
44,5,0,1.2,329,-7.5,25,70200
44,8,1,0.0,0,-6.2,22,70300
44,11,384,0.5,180,-2.7,17,70400
44,14,574,1.4,124,0.9,15,70100
44,17,269,0.7,344,2.7,15,69900
44,20,0,1.0,246,-0.8,31,70000
44,23,0,3.7,272,-4.2,27,70100
45,2,0,7.4,271,-6.0,22,70200
45,5,0,5.5,264,-8.1,24,70000
45,8,2,3.1,270,-10.1,24,70100
45,11,499,1.2,104,-3.2,15,70000
45,14,727,1.5,90,2.4,13,69600
45,17,329,2.0,60,3.7,16,69200
45,20,0,1.2,270,-0.5,24,69300
45,23,0,3.1,264,-3.7,28,69500
46,2,0,2.2,231,-3.9,28,69400
46,5,0,2.0,200,-5.5,32,69300
46,8,2,2.4,185,-5.8,30,69400
46,11,385,1.9,205,0.2,19,69500
46,14,717,0.9,117,4.4,16,69300
46,17,389,0.7,153,5.8,18,69100
46,20,0,0.1,270,1.8,29,69300
46,23,0,5.8,102,-2.2,31,69600
47,2,0,1.9,84,-3.3,40,69800
47,5,0,0.4,346,-4.8,44,69800
47,8,5,0.9,306,-6.7,44,69900
47,11,486,1.2,246,0.2,28,70100
47,14,741,2.0,225,5.4,23,69800
47,17,391,8.2,305,8.3,15,69500
47,20,0,1.7,332,1.0,35,69700
47,23,0,5.1,293,-1.1,32,69800
48,2,0,1.1,297,-3.5,29,69900
48,5,0,1.1,243,-4.1,32,69800
48,8,5,2.1,245,-7.4,34,70000
48,11,488,2.0,217,0.1,20,70000
48,14,757,1.4,107,5.0,18,69700
48,17,406,0.8,83,7.2,17,69400
48,20,0,1.7,180,1.7,35,69400
48,23,0,1.4,188,-1.5,29,69400
49,2,0,1.9,152,-1.7,28,69300
49,5,0,1.1,90,-2.3,32,69100
49,8,7,0.2,270,-5.2,40,69000
49,11,501,1.7,204,2.3,24,69100
49,14,742,0.7,135,7.1,19,68800
49,17,377,2.1,76,9.0,17,68300
49,20,0,0.8,83,5.3,26,68300
49,23,0,2.0,105,4.1,27,68300
50,2,0,5.9,108,0.4,31,68400
50,5,0,6.5,105,-2.2,38,68300
50,8,7,4.9,104,-1.9,39,68300
50,11,473,1.8,103,1.6,32,68400
50,14,707,1.0,107,6.3,26,68100
50,17,340,3.7,116,7.0,30,67900
50,20,0,4.7,108,2.4,49,68200
50,23,0,3.6,101,0.4,60,68600
51,2,0,3.4,117,-2.6,77,68900
51,5,0,1.9,122,-4.0,85,68800
51,8,7,1.4,90,-4.9,82,69100
51,11,365,2.3,105,-1.9,62,69200
51,14,513,0.9,69,0.6,47,69000
51,17,245,3.8,115,0.3,49,68800
51,20,0,5.8,121,-2.7,71,69100
51,23,0,5.6,113,-5.4,77,69400
52,2,0,6.1,111,-7.0,72,69400
52,5,0,3.6,103,-7.3,69,69300
52,8,7,4.1,124,-8.1,69,69400
52,11,334,3.7,98,-5.6,55,69500
52,14,452,4.3,111,-3.5,49,69200
52,17,225,4.7,101,-3.7,56,69300
52,20,0,6.0,116,-6.0,69,69500
52,23,0,5.4,103,-7.6,70,69700
53,2,0,3.4,104,-7.7,61,69600
53,5,0,3.3,99,-8.7,65,69500
53,8,11,2.5,122,-9.6,64,69600
53,11,460,2.4,83,-6.2,48,69700
53,14,661,2.2,126,-2.8,40,69400
53,17,315,2.0,105,-1.6,37,69400
53,20,0,5.3,104,-3.1,45,69600
53,23,0,4.5,104,-5.0,54,69700
54,2,0,2.5,79,-6.6,56,69700
54,5,0,1.5,127,-7.2,57,69500
54,8,14,2.1,65,-9.3,60,69600
54,11,532,1.4,60,-4.5,39,69700
54,14,764,3.4,177,-0.2,32,69500
54,17,353,1.6,108,0.9,31,69300
54,20,0,2.0,156,-1.8,43,69600
54,23,0,2.9,316,-3.4,43,69800
55,2,0,2.4,92,-6.3,51,69800
55,5,0,0.4,297,-7.2,53,69700
55,8,16,5.5,285,-9.9,50,69700
55,11,552,4.5,261,-3.4,24,69800
55,14,815,9.4,278,0.8,12,69400
55,17,436,14.8,290,1.0,12,69300
55,20,0,13.6,285,-2.9,18,69500
55,23,0,10.4,272,-5.1,20,69700
56,2,0,5.3,271,-7.4,20,69600
56,5,0,3.2,284,-9.5,26,69500
56,8,17,2.3,320,-11.7,28,69700
56,11,563,0.6,270,-4.7,17,69800
56,14,827,1.1,175,-0.4,13,69600
56,17,444,1.4,168,1.1,11,69400
56,20,0,3.6,159,-3.6,25,69600
56,23,0,0.8,140,-5.3,20,69700
57,2,0,1.7,291,-8.3,25,69700
57,5,0,3.0,272,-9.6,24,69600
57,8,19,1.4,253,-11.1,22,69700
57,11,564,0.3,252,-4.1,12,69700
57,14,801,2.3,137,0.2,12,69400
57,17,340,2.5,106,1.4,12,69100
57,20,0,3.0,339,-1.4,26,69300
57,23,0,11.6,289,-2.2,28,69600
58,2,0,10.0,270,-4.7,34,69600
58,5,0,8.1,272,-7.0,36,69500
58,8,19,3.5,275,-9.7,36,69600
58,11,554,1.6,281,-2.5,22,69800
58,14,775,1.8,264,2.0,16,69600
58,17,384,12.7,304,3.2,15,69500
58,20,0,9.5,329,-1.4,29,70000
58,23,0,4.2,341,-3.3,40,70300
59,2,0,2.3,347,-6.5,35,70400
59,5,0,1.0,323,-8.8,39,70400
59,8,21,0.9,63,-11.1,38,70400
59,11,575,1.6,125,-5.2,24,70400
59,14,835,3.4,95,-0.7,21,70000
59,17,452,4.2,87,1.0,16,69600
59,20,0,6.1,93,-2.6,25,69700
59,23,0,2.4,83,-4.4,20,69700
60,2,0,1.7,83,-4.7,28,69500
60,5,0,0.5,292,-7.4,35,69300
60,8,22,1.2,279,-9.6,40,69400
60,11,553,2.2,219,-2.3,24,69400
60,14,790,1.4,126,1.9,20,69000
60,17,388,1.1,139,3.9,19,68700
60,20,0,1.9,186,-0.2,36,68800
60,23,0,3.8,290,-2.7,34,69000
61,2,0,2.4,36,-4.4,32,69100
61,5,0,2.2,69,-6.3,37,69000
61,8,25,1.8,61,-8.2,40,69100
61,11,579,2.0,99,-2.0,25,69100
61,14,799,3.0,104,2.8,19,68800
61,17,383,4.4,90,4.9,18,68400
61,20,0,6.3,100,0.8,35,68600
61,23,0,4.1,87,-2.4,42,69000
62,2,0,4.7,89,-3.8,48,69000
62,5,0,3.7,90,-5.6,53,68900
62,8,29,2.2,103,-5.3,50,69000
62,11,491,2.5,101,-2.2,45,69100
62,14,733,3.3,123,1.7,39,68900
62,17,395,3.9,93,4.2,33,68500
62,20,0,5.4,101,0.3,50,68700
62,23,0,6.1,99,-2.8,61,69100
63,2,0,4.1,83,-5.1,67,69300
63,5,0,4.1,90,-4.8,63,69200
63,8,19,4.3,89,-5.3,62,69300
63,11,467,6.1,95,-3.3,50,69500
63,14,752,7.4,114,-0.4,40,69300
63,17,395,9.7,110,-0.1,39,69100
63,20,0,7.5,104,-3.0,50,69300
63,23,0,6.4,110,-5.2,61,69600
64,2,0,4.7,107,-7.0,67,69600
64,5,0,2.1,98,-7.8,70,69400
64,8,36,0.6,39,-8.8,70,69500
64,11,585,1.3,162,-4.7,47,69500
64,14,830,1.5,58,0.3,33,69300
64,17,451,1.6,108,1.4,33,69100
64,20,0,4.7,100,-1.4,43,69100
64,23,0,5.2,99,-3.4,51,69400
65,2,0,3.5,93,-5.7,64,69400
65,5,0,2.7,92,-6.3,64,69400
65,8,33,2.0,120,-7.1,66,69500
65,11,534,1.3,119,-3.8,48,69600
65,14,816,1.6,252,0.8,25,69300
65,17,459,6.3,285,3.7,15,69100
65,20,0,2.5,95,-1.2,28,69200
65,23,0,4.8,92,-4.4,39,69400
66,2,0,3.8,90,-6.6,53,69400
66,5,0,1.5,90,-7.1,54,69300
66,8,37,1.4,73,-8.2,50,69300
66,11,586,1.4,90,-3.7,36,69300
66,14,863,2.2,111,1.5,20,69000
66,17,425,3.6,99,3.6,16,68600
66,20,0,6.1,93,0.8,24,68700
66,23,0,4.7,95,-2.8,41,68900
67,2,0,3.8,99,-4.4,31,68800
67,5,0,2.8,100,-5.3,39,68600
67,8,30,1.3,148,-5.5,45,68700
67,11,511,2.3,137,-1.5,32,68800
67,14,843,3.5,100,2.3,26,68500
67,17,399,6.1,104,3.8,28,68200
67,20,1,7.4,91,0.2,47,68300
67,23,0,4.4,84,-1.8,57,68600
68,2,0,4.4,106,-4.1,67,68600
68,5,0,1.9,69,-5.2,70,68600
68,8,28,1.5,94,-5.4,68,68700
68,11,275,0.6,81,-3.2,60,68800
68,14,424,2.1,180,-1.0,55,68700
68,17,297,3.7,124,-0.2,55,68700
68,20,1,6.3,90,-2.3,73,69000
68,23,0,4.8,84,-4.1,79,69200
69,2,0,5.2,95,-3.7,75,69000
69,5,0,5.5,116,-4.9,75,68900
69,8,26,3.8,104,-4.6,69,69000
69,11,385,4.8,98,-2.5,56,69200
69,14,635,6.3,110,1.1,46,68900
69,17,339,7.3,98,1.3,48,68800
69,20,1,5.9,95,-1.0,56,68900
69,23,0,5.8,105,-2.6,59,69000
70,2,0,3.4,95,-4.3,63,69000
70,5,0,2.8,92,-5.1,67,68900
70,8,25,2.8,94,-5.5,70,69000
70,11,347,5.4,103,-4.4,65,69000
70,14,543,8.2,103,-2.2,56,68800
70,17,299,7.8,102,-2.9,59,68800
70,20,2,5.7,94,-5.0,61,69000
70,23,0,5.0,103,-6.3,59,69200
71,2,0,4.6,103,-7.3,59,69200
71,5,0,4.2,91,-7.9,64,69100
71,8,41,3.0,88,-9.4,64,69300
71,11,472,2.2,124,-6.3,56,69400
71,14,642,1.8,177,-3.7,49,69300
71,17,348,2.8,129,-2.5,51,69200
71,20,2,2.8,142,-4.4,61,69400
71,23,0,0.4,207,-7.3,68,69500
72,2,0,1.9,18,-7.6,70,69400
72,5,0,2.2,342,-9.4,69,69200
72,8,44,0.4,270,-9.2,64,69200
72,11,433,0.7,196,-5.7,60,69200
72,14,722,1.7,130,-2.1,49,68900
72,17,488,2.2,112,0.2,42,68700
72,20,4,1.2,42,-2.1,49,69000
72,23,0,2.1,14,-6.4,62,69200
73,2,0,0.7,352,-6.4,54,69300
73,5,0,0.6,141,-7.4,61,69200
73,8,63,0.3,270,-10.5,58,69300
73,11,631,1.6,153,-3.9,48,69400
73,14,813,1.1,175,0.4,38,69200
73,17,449,4.9,291,2.3,37,69100
73,20,4,6.5,247,-2.4,55,69300
73,23,0,4.4,231,-4.7,61,69400
74,2,0,0.9,103,-6.2,47,69200
74,5,0,0.9,77,-7.5,55,69000
74,8,66,1.5,307,-10.3,54,69100
74,11,661,1.2,160,-2.7,34,69200
74,14,910,1.4,176,2.6,25,68900
74,17,506,2.5,159,4.6,26,68600
74,20,5,2.3,92,1.3,42,68700
74,23,0,1.6,27,-2.1,45,69000
75,2,0,1.5,356,-5.1,43,69200
75,5,0,2.2,93,-5.3,44,69200
75,8,70,1.2,85,-6.2,45,69400
75,11,644,1.0,101,-1.4,34,69500
75,14,883,1.0,101,2.6,28,69200
75,17,497,3.4,127,3.7,29,69000
75,20,5,6.6,100,0.0,51,69200
75,23,0,4.3,105,-2.7,71,69400
76,2,0,4.0,103,-5.2,71,69400
76,5,0,3.3,131,-6.9,73,69200
76,8,68,2.2,150,-6.8,61,69200
76,11,570,3.0,114,-2.0,45,69200
76,14,735,3.0,130,1.6,39,68900
76,17,413,3.7,112,3.9,40,68600
76,20,4,5.8,113,0.1,60,68700
76,23,0,4.5,90,-3.1,71,68800
77,2,0,0.6,171,-3.3,70,69000
77,5,0,1.7,260,-3.2,72,69000
77,8,71,3.0,270,-4.8,70,69300
77,11,634,6.7,275,2.3,37,69300
77,14,875,10.6,296,6.9,19,69100
77,17,514,10.7,300,6.1,16,69200
77,20,6,2.8,358,1.0,35,69400
77,23,0,3.9,235,-3.2,39,69600
78,2,0,3.0,186,-5.2,42,69600
78,5,0,2.6,180,-6.2,42,69500
78,8,79,2.9,186,-7.0,39,69600
78,11,685,2.7,167,-1.6,25,69600
78,14,919,3.1,128,3.5,19,69300
78,17,477,1.9,102,5.4,18,69100
78,20,5,3.0,131,2.9,32,69200
78,23,0,3.7,64,-1.1,42,69400
79,2,0,1.7,103,-3.5,37,69500
79,5,0,0.9,77,-4.5,46,69300
79,8,75,0.9,339,-6.9,43,69400
79,11,552,1.1,195,-0.9,32,69400
79,14,758,1.5,191,3.6,24,69100
79,17,457,7.7,274,6.1,20,68900
79,20,6,7.9,228,1.5,39,69000
79,23,0,3.5,255,-2.0,43,69000
80,2,0,1.8,171,-3.6,35,68900
80,5,0,2.3,151,-4.8,36,68800
80,8,88,1.0,197,-5.4,32,68800
80,11,674,1.6,187,0.9,19,68900
80,14,852,2.2,183,6.7,18,68600
80,17,456,3.0,242,8.5,21,68300
80,20,7,5.9,236,4.5,39,68500
80,23,0,3.7,284,0.8,46,68600
